date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:59	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1721920647-ssl-df	https://infosysss.netlify.app/robots.txt		(from )
09:24:59	44221/44221	---MCZ	200	added ('OK')	text/html	etag:%221b7004c34455793c9ce6236917cd7d51-ssl-df%22	https://infosysss.netlify.app/	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/index.html	(from )
09:25:00	1048/1048	---M-Z	200	added ('OK')	text/css	etag:W/%22418-Hw0qmsqoMA8KBwmAyLQU8TSFEz4%22	https://cdn.jsdelivr.net/npm/locomotive-scroll@3.5.4/dist/locomotive-scroll.css	C:/My%20Web%20Sites/zezweofficial/cdn.jsdelivr.net/npm/locomotive-scroll@3.5.4/dist/locomotive-scroll.css	(from https://infosysss.netlify.app/)
09:25:00	25301/25301	---M--	200	added ('OK')	image/jpeg	etag:%229165cb5e1914c9a120a2147bb00f0468-ssl%22	https://infosysss.netlify.app/imgs/favicon.jpg	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/favicon.jpg	(from https://infosysss.netlify.app/)
09:25:00	4148/4148	---M-Z	200	added ('OK')	text/css	etag:W/%221034-2AP86eFaFrSaZX9EIMOPiG8/6b4%22	https://cdn.jsdelivr.net/npm/sheryjs/dist/Shery.css	C:/My%20Web%20Sites/zezweofficial/cdn.jsdelivr.net/npm/sheryjs/dist/Shery.css	(from https://infosysss.netlify.app/)
09:25:01	140913/140913	---M-Z	200	added ('OK')	text/css	etag:W/%2222671-k1y8Ek8KATz1lz8BY0mFV3PqF4E%22	https://cdn.jsdelivr.net/npm/remixicon@4.3.0/fonts/remixicon.css	C:/My%20Web%20Sites/zezweofficial/cdn.jsdelivr.net/npm/remixicon@4.3.0/fonts/remixicon.css	(from https://infosysss.netlify.app/)
09:25:01	1367/1367	---M-Z	200	added ('OK')	text/css	etag:W/%22557-q0Rg9aEruX0KNUxKBLrNN7Ay+gU%22	https://cdn.jsdelivr.net/npm/locomotive-scroll@4.1.3/dist/locomotive-scroll.min.css	C:/My%20Web%20Sites/zezweofficial/cdn.jsdelivr.net/npm/locomotive-scroll@4.1.3/dist/locomotive-scroll.min.css	(from https://infosysss.netlify.app/)
09:25:02	41233/41233	---MCZ	200	added ('OK')	text/css	etag:%228582fcd6f5746704fc5b154a014aadae-ssl-df%22	https://infosysss.netlify.app/style.css	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/style.css	(from https://infosysss.netlify.app/)
09:25:03	35496/35496	---MCZ	200	added ('OK')	text/css	etag:%2204d02a33a707720ba3a1c1d8e43d69ce-ssl-df%22	https://infosysss.netlify.app/phone.css	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/phone.css	(from https://infosysss.netlify.app/)
09:25:04	28579/28579	---M--	200	added ('OK')	image/png	etag:%22f0591e87eaaee0e7ce342a3cf5834128-ssl%22	https://infosysss.netlify.app/imgs/whiteLogo.png	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/whiteLogo.png	(from https://infosysss.netlify.app/)
09:25:05	5982/5982	---M--	200	added ('OK')	image/webp	etag:%2275da8e9c85f168517bafef0038e80fd1-ssl%22	https://infosysss.netlify.app/imgs/logo1.webp	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/logo1.webp	(from https://infosysss.netlify.app/)
09:25:07	174488/174488	---M--	200	added ('OK')	video/mp4	etag:%22a1119b1a31bc912fd9d362713cfac9e6-ssl%22	https://infosysss.netlify.app/assets/hero.v2.mp4	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/assets/hero.v2.mp4	(from https://infosysss.netlify.app/)
09:25:09	387378/387378	---M--	200	added ('OK')	video/mp4	etag:%2243c7f1200bc97f12dddcf58a940175cd-ssl%22	https://infosysss.netlify.app/assets/helix.mp4	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/assets/helix.mp4	(from https://infosysss.netlify.app/)
09:25:10	214441/214441	---M--	200	added ('OK')	video/mp4	etag:%22fdfd0c2880dad87518de027881d1dc9f-ssl%22	https://infosysss.netlify.app/assets/triugolnik.mp4	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/assets/triugolnik.mp4	(from https://infosysss.netlify.app/)
09:25:11	295053/295053	---M--	200	added ('OK')	video/mp4	etag:%220892e93afae60a88c40f124308d66f75-ssl%22	https://infosysss.netlify.app/assets/ball.mp4	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/assets/ball.mp4	(from https://infosysss.netlify.app/)
09:25:11	1861903/1861903	---M--	200	added ('OK')	video/mp4	etag:%22dec8f4a959ea7f176ddfa41c65589f46-ssl%22	https://infosysss.netlify.app/assets/f6.mp4	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/assets/f6.mp4	(from https://infosysss.netlify.app/)
09:25:12	1000/1000	---M--	200	added ('OK')	image/svg+xml	etag:%220f82a74538eda19649962b9fde0d1d24-ssl%22	https://infosysss.netlify.app/imgs/clutch.svg	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/clutch.svg	(from https://infosysss.netlify.app/)
09:25:12	516284/516284	---M--	200	added ('OK')	video/mp4	etag:%22803ce91251120d62560f2094b8806c77-ssl%22	https://infosysss.netlify.app/assets/abstract.mp4	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/assets/abstract.mp4	(from https://infosysss.netlify.app/)
09:25:13	671/671	---M--	200	added ('OK')	image/svg+xml	etag:%22fac1f2354e8a83c68012dc1fbfaad4fb-ssl%22	https://infosysss.netlify.app/imgs/goodfirms.svg	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/goodfirms.svg	(from https://infosysss.netlify.app/)
09:25:14	4017/4017	---M--	200	added ('OK')	image/jpeg	etag:%2224d0fc2e94b13ceb831a301fa667dc74-ssl%22	https://infosysss.netlify.app/imgs/service.jpg	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/service.jpg	(from https://infosysss.netlify.app/)
09:25:14	2434/2434	---M--	200	added ('OK')	image/png	etag:%22c4507dfe76ac1aa9da40b66fcfc5f175-ssl%22	https://infosysss.netlify.app/imgs/microsoft.png	C:/My%20Web%20Sites/zezweofficial/infosysss.netlify.app/imgs/microsoft.png	(from https://infosysss.netlify.app/)
